#1_tweetid,#2_tweet,#3_country_label,#2_tweet_clean
TRAIN_11,بتتذكري مسلسل نورا هيك بتذكر كان اسمها في,Lebanon,بتذكري مسلسل نورا هيك بتذكر كان اسمها في
TRAIN_12,أحمد ربي ديجا كي يجي واحد منهم في الوقت,Tunisia,احمد ربي ديجا كي يجي واحد منهم في الوقت
TRAIN_13,يسطا لازم قريب خد بالك,Tunisia,يسطا لازم قريب خد بالك
TRAIN_14,نزعل و الله لو تريكه مرضش,Tunisia,نزعل واله لو تريكه مرضش
TRAIN_15,فخري وتاج راسي هالنونا والله URL ,Morocco,فخري وتاج راسي هالنونا واله 
TRAIN_16,مال صور ' تاريخ ١٨-١٩ /٧ . URL ,Oman,مال صور تاريخ    
TRAIN_17,فورنو كهرباء نوع كوبر نضيف بسعر مغري وممتاز El Oued إعلانات مبوبة في الجزائر | Ssoug  URL …,Algeria,فورنو كهرباء نوع كوبر نضيف بسعر مغري ومتاز اعلانات مبوبه في الجزاءر 
TRAIN_18,لا حبيتي اني مااسمع صوات حمير هنق هنق,Djibouti,لا حبيتي اني ماسمع صوات حمير هنق هنق
TRAIN_19,بدو يحشر حالو بين كنادر البنات ، فعلا نظرو واطي هالشخص URL  …,United_Arab_Emirates,بدو يحشر حالو بين كنادر البنات فعلا نظرو واطي هالشخص 
TRAIN_20,"""مقتنعه ب جمله \"" لكل فعل رد فعل \"" ف استحملوا يعنى""",Egypt,مقتنعه ب جمله لكل فعل رد فعل ف استحملوا يعني
TRAIN_21,اكثر يوم حسيت فيه اني خريجه صج,Kuwait,اكثر يوم حسيت فيه اني خريجه صج
TRAIN_22,بوصوفة مشى والصراحة غيخلي بلاصتو ولكن المستقبل هو زياش متنساش راه اول كاس افريقيا غيلعبها,Morocco,بوصوفه مشي والصراحه غيخلي بلاصتو ولكن المستقبل هو زياش متنساش راه اول كاس افريقيا غيلعبها
TRAIN_23, USER  والله بجد اللقب هيتشرف بعباس,Syria, واله بجد القب هيتشرف بعباس
TRAIN_24,أموت في حبجج؛ خيتي.,Oman,اموت في حبج خيتي
TRAIN_25,وش للتبديل الغبي ذا؟؟؟؟؟؟,Saudi_Arabia,وش لتبديل الغبي ذا
TRAIN_26,المصور ما عقلهاش,Tunisia,المصور ما عقلهاش
TRAIN_27,مادار في بالي الخالي اتعلق بغالي واضيع انا في الدرب وشصار لهالگلب حب وعشگ وانحب واني ادري انه صعب وشصار شنو...  URL ,Iraq,مادار في بالي الخالي اتعلق بغالي واضيع انا في الدرب وشصار لهالكلب حب وعشك وانحب واني ادري انه صعب وشصار شنو 
TRAIN_28,لما اقول لبنت طيزك حمرا دي مش شتيمة دا مدح عظيم لو تعلمون,Egypt,لما اقول لبنت طيزك حمرا دي مش شتيمه دا مدح عظيم لو تعلمون
TRAIN_29,ماحس الي يالسه ترمسني ميثوه (:,United_Arab_Emirates,ماحس الي يالسه ترمسني ميثوه 
TRAIN_30,لااااااا متقوليييييش عليها كده متصدمنيش لااااااا,Egypt,لا متقوليش عليها كده متصدمنيش لا
TRAIN_31,بعد مشاهدة الحوار لي دارو البارح الغديري في حصة الجزائرية وان .. لن وولن انتخب بنادم... جملة ميعرفش يكونها... 1,Algeria,بعد مشاهده الحوار لي دارو البارح الغديري في حصه الجزاءريه وان لن ولن انتخب بنادم جمله ميعرفش يكونها 
TRAIN_32,من الأماكن الي فعلا بحبها وترتاح جدا فيها,Egypt,من الاماكن الي فعلا بحبها وترتاح جدا فيها
TRAIN_33,اي والله تحول خرافي,Algeria,اي واله تحول خرافي
TRAIN_34,ههههههه او ههههههههه او ههههههه والكارثه الزواج تايد وتصدك وطبل لابو كل ذيل وكل مغرض ولكم جذبو بانصاف لابو الحرس الثوري,Iraq,ه او ه او ه والكارثه الزواج تايد وتصدك وطبل لابو كل ذيل وكل مغرض ولكم جذبو بانصاف لابو الحرس الثوري
TRAIN_35,حبك لو ينتهي ارجع احبك من جديد !,United_Arab_Emirates,حبك لو ينتهي ارجع احبك من جديد 
TRAIN_36,وحياتك ولا انا,Iraq,وحياتك ولا انا
TRAIN_37,مش احسن ما اعيط من المذاكره اللي عليا,Egypt,مش احسن ما اعيط من المذاكره الي عليا
TRAIN_38,#البريمرليج_على_الجزيره ياريت الخليفي ما يطلع حرقة دفع تعاقدات ال PSG من مشركين الجزيرة الرياضية :):):):),Iraq,البريمرليج علي الجزيره ياريت الخليفي ما يطلع حرقه دفع تعاقدات ال من مشركين الجزيره الرياضيه 
TRAIN_39,فيه فلم مدري مسلسل نزل ل زياد العمري لي اسبوعين ادور عليه اتوقع اسمه ( جُرذ ) كيف اشوفه او بس يعرض على صالات السينما؟,Saudi_Arabia,فيه فلم مدري مسلسل نزل ل زياد العمري لي اسبوعين ادور عليه اتوقع اسمه جرذ كيف اشوفه او بس يعرض علي صالات السينما
TRAIN_40,#الهلال_الشباب هاردلك لليوث الفريق لازال في مرحلة البناء لعيبه صغار سن فيه اخطاء صانع لعب ممتاز مطلب في الشتوية بديل للاسطا مهاجم محلي جيد,Syria,الهلال الشباب هاردلك ليوث الفريق لازال في مرحله البناء لعيبه صغار سن فيه اخطاء صانع لعب متاز مطلب في الشتويه بديل لاسطا مهاجم محلي جيد
TRAIN_41,عهدي بها فاكهه شيطان امتى قعدت تفاحة صراحه URL  …,Libya,عهدي بها فاكه شيطان امتي قعدت تفاحه صراحه 
TRAIN_42,سال المجرب وما تسالش الطبيب,Algeria,سال المجرب وما تسالش الطبيب
TRAIN_43,هي زي تحبكي,Iraq,هي زي تحبكي
TRAIN_44,كيف جايهم النوم بس حاسدتهم,Libya,كيف جايهم النوم بس حاسدتهم
TRAIN_45,شي غريب الشوارع فاضيه !!!!! #كويت #q8 #Kuwait,Kuwait,شي غريب الشوارع فاضيه كويت 
TRAIN_46,"""منذ الأزل بيخسروا وبيخيبوا أملنا بس هل مرة نشعر بالسعادة \""العارمة\""""",Syria,منذ الازل بيخسروا وبيخيبوا املنا بس هل مره نشعر بالسعاده العارمه
TRAIN_47,يعني الجبال الباقيه على الارض مديلها جديد ولا خلقت الا بعد ذا الاحفوره !!!,Saudi_Arabia,يعني الجبال الباقيه علي الارض مديلها جديد ولا خلقت الا بعد ذا الاحفوره 
TRAIN_48,#الحقيقه_توجع ناس كنت احسب انهم كفو وخيبوا ظنّي..!!  URL ,Syria,الحقيقه توجع ناس كنت احسب انهم كفو وخيبوا ظني 
TRAIN_49, USER  يا ريت والله,Oman, ياريت واله
TRAIN_50,قويه قدام الغياب مايهزمني بُعد مخلوق مثل م حبيتك اقدر اكرهك .,Saudi_Arabia,قويه قدام الغياب مايهزمني بعد مخلوق مثل م حبيتك اقدر اكرهك 
TRAIN_51,يغير فكرته برأيي أحسنله,Syria,يغير فكرته براي احسنله
TRAIN_52,الله يبقيك يا الغالي,Bahrain,اله يبقيك ياالغالي
TRAIN_53,اكثر من هاك,Algeria,اكثر من هاك
TRAIN_54,لاماله علاقه السجل تواصلي مع شركة اللي كنتي فيها هي سبب الرفض,Saudi_Arabia,لاماله علاقه السجل تواصلي مع شركه الي كنتي فيها هي سب الرفض
TRAIN_55,يبارك فيك حبيب قلبي,Bahrain,يبارك فيك حبيب قلبي
TRAIN_56,فالفيردي مصلي العشاء قبل الماتش,Egypt,فالفيردي مصلي العشاء قبل الماتش
TRAIN_57,الله لا يحرمني منها يارب,Saudi_Arabia,اله لا يحرمني منها يارب
TRAIN_58,تخمام تاع طفل في الابتدائي ما ظنيتش يصوم,Algeria,تخمام تاع طفل في الابتداءي ما ظنيتش يصوم
TRAIN_59,حتى بنومي كاعد ...... خايف أنسااك !!!  URL ,Iraq,حتي بنومي كاعد خايف انساك 
TRAIN_60,يعني ما تنعرف يوم تكون مريضه,Iraq,يعني ما تنعرف يوم تكون مريضه
TRAIN_61,#فركوس_مدرس_المسجد_الاعظم و الشاب جلول مؤدن تاعو,Tunisia,فركوس مدرس المسجد الاعظم والشاب جلول مءدن تاعو
TRAIN_62,يبلعك سمك القرش ومايبزقك,Syria,يبلعك سمك القرش ومايبزقك
TRAIN_63,لو تباعدك الظروف انا غيرك ما أشوف .,United_Arab_Emirates,لو تباعدك الظروف انا غيرك ما اشوف 
TRAIN_64,لحيتي متوسطة لكن عندي باها جو هلبا,Libya,لحيتي متوسطه لكن عندي باها جو هلبا
TRAIN_65,أسوأ حاجه هي أنك تهون ، لو هونت هتتغير ، ولو أتغيرت هتأخد قرارات كتير أولها القسوه ، ولو قسيت لا هتحن ولا تصفي ..,Syria,اسوا حاجه هي انك تهون لو هونت هتغير ولو اتغيرت هتاخد قرارات كتير اولها القسوه ولو قسيت لا هتحن ولا تصفي 
TRAIN_66,ولا اوصلها اكثر من كذا,Iraq,ولا اوصلها اكثر من كذا
TRAIN_67,ههههههههههه جسم غريب. ميمتي مت بالضحك. URL  …,Morocco,ه جسم غريب ميمتي مت بالضحك 
TRAIN_68, USER  العيون تحكم ياما نخدعنابالنظاره,Saudi_Arabia, العيون تحكم ياما نخدعنابالنظاره
TRAIN_69,يلا ايش يوزرك,Iraq,يلا ايش يوزرك
TRAIN_70,اليوم الدكتوره الى ما دانيها ومدرستني من سنتين جات وسلمت على وتقولي I miss you URL ,Qatar,اليوم الدكتوره الي ما دانيها ومدرستني من سنتين جات وسلمت علي وتقولي 
TRAIN_71,اذا ندمت اني كلمت شخص احذف المحادثه وبكذا احس اني ماسويت شي.,Saudi_Arabia,اذا ندمت اني كلمت شخص احذف المحادثه وبكذا احس اني ماسويت شي
TRAIN_72,بس هو شبهي نوعا ما,Egypt,بس هو شبهي نوعا ما
TRAIN_73,كعبة المساطة تدمغ وحدة وحدة الفيديو كــــامل هير:   URL  ,Tunisia,كعبه المساطه تدمغ وحده وحده الفيديو كامل هير 
TRAIN_74,وياعيني عليها وعلي ضحكتها,Egypt,وياعيني عليها وعلي ضحكتها
TRAIN_75,مالها جواهر هو حد يعرفك غيري يابنتي,Egypt,مالها جواهر هو حد يعرفك غيري يابنتي
TRAIN_76,ايه والله وقطعتين ثلج  URL  …,Oman,ايه واله وقطعتين ثلج 
TRAIN_77,ماهر غناها احلى,Yemen,ماهر غناها احلي
TRAIN_78, USER  مبروك وعقبال الدوري يارب,Saudi_Arabia, مبروك وعقبال الدوري يارب
TRAIN_79,اه اذا كان كده معلش خلاص تقبلته,Egypt,اه اذا كان كده معلش خلاص تقبلته
TRAIN_80,كذب عليكم لما وصلةدعم اااخ سودتو وجيهنا,Yemen,كذب عليكم لما وصلهدعم اخ سودتو وجيهنا
TRAIN_81,هو اى الى عادى ي سى كريم اسكت خالص ده انا بموت خصوصا كنت بمتحن النهارده,Morocco,هو اي الي عادي ي سي كريم اسكت خالص ده انا بموت خصوصا كنت بمتحن النهارده
TRAIN_82,وبيييييتكم غبتووو ياكم الاعصااااررر,Lebanon,وبيتكم غبتو ياكم الاعصار
TRAIN_83,بسم الله شكون بغا يذوق معيا ؟  URL ,Morocco,بسم اله شكون بغا يذوق معيا 
TRAIN_84,سالتا عنك يا المحبوب وينك,Morocco,سالتا عنك ياالمحبوب وينك
TRAIN_85,تقصدي المحترف يمشي على آلية معينة بينما الهاوي يعتمد على الصدفة والارتجال. معقولة,Palestine,تقصدي المحترف يمشي علي اليه معينه بينما الهاوي يعتمد علي الصدفه والارتجال معقوله
TRAIN_86,بعد ما أخيرا زبط نومي بعد الnight rotation ونمت عال٩ اليوم بصحى عال٣ الصبح,Jordan,بعد ما اخيرا زبط نومي بعد ال ونمت عال اليوم بصحي عال الصبح
TRAIN_87,ولا أنت غيم فالسماء ولأني ميت ظما.,United_Arab_Emirates,ولا انت غيم فالسماء ولاني ميت ظما
TRAIN_88, USER  وجععع شررر شرررررررر,Saudi_Arabia, وجع شر شر
TRAIN_89,وبلهجة الكمزاري أسم (لجدانه) وبعض يسموه افتيله له اسمين,Oman,وبلهجه الكمزاري اسم لجدانه وبعض يسموه افتيله له اسمين
TRAIN_90,خساره ما لحقت قبل العشر دقايق,Saudi_Arabia,خساره ما لحقت قبل العشر دقايق
TRAIN_91,ماقول غير ياحظ الي بيشوفك بالعيد بالوردي حياتهم بتصير زي لون الفستان العيد حقه بيصير لونه وردي,Saudi_Arabia,ماقول غير ياحظ الي بيشوفك بالعيد بالوردي حياتهم بتصير زي لون الفستان العيد حقه بيصير لونه وردي
TRAIN_92,البركه في الجيش غير هكي لا لامراهقين طبرق لاذيول الرئاسي والدوله,Libya,البركه في الجيش غير هكي لا لامراهقين طبرق لاذيول الرءاسي والدوله
TRAIN_93,عرفت مابقاو عندي مشاعر ملي ولا يطيحلي التيليفون ف الأرض و نجرو من الكيت,Morocco,عرفت مابقاو عندي مشاعر ملي ولا يطيحلي التيليفون ف الارض ونجرو من الكيت
TRAIN_94,تفله تكفي البول وايد عليها,United_Arab_Emirates,تفله تكفي البول وايد عليها
TRAIN_95,صوت عربيا لشيرين وصوت لتاج راس الكل اليسا هون,Syria,صوت عربيا لشيرين وصوت لتاج راس الكل اليسا هون
TRAIN_96,مفيش حاجه لهند,Egypt,مفيش حاجه لهند
TRAIN_97,صباح الخير مين ؟ او كيف حتى ؟,Palestine,صباح الخير مين او كيف حتي 
TRAIN_98,الصيدلية ناقصها وصلة bein وندخلها شيشة وتاخد تقييم عشرة ف قلبي,Egypt,الصيدليه ناقصها وصله وندخلها شيشه وتاخد تقيم عشره ف قلبي
TRAIN_99,الشي المشترك هوي المئت اي منيح بتخلص هالعلاقة مشان ما يصير عندك طاقة سلبية من وراهون,Syria,الشي المشترك هوي المءت اي منيح بتخلص هالعلاقه مشان ما يصير عندك طاقه سلبيه من وراهون
TRAIN_100, USER  شيخ لوسمحت ابي استفسر عن موضوع خاص وضروري لوسمحت,Kuwait, شيخ لوسمحت ابي استفسر عن موضوع خاص وضروري لوسمحت
TRAIN_101,نفسي اقعد قدااام البحر ونفسي انط من طياره  URL  …,Egypt,نفسي اقعد قدام البحر ونفسي انط من طياره 
TRAIN_102,أنت شكلك متعرفش حاجه النجمه الصاعده دي,Egypt,انت شكلك متعرفش حاجه النجمه الصاعده دي
TRAIN_103,اي والله هيك صار بأختي من يومين نفس الموقف فتحت لعلبة لاقت خيطان وبعدني عم اضحك عليها,Lebanon,اي واله هيك صار باختي من يومين نفس الموقف فتحت لعلبه لاقت خيطان وبعدني عم اضحك عليها
TRAIN_104,للرجعية و الإرهاب ما في جنسية! URL  …,Qatar,لرجعيه والارهاب ما في جنسيه 
TRAIN_105, USER  لما اقول لكم علموني السواقه  URL  …,Saudi_Arabia, لما اقول لكم علموني السواقه 
TRAIN_106,ارجع يا ايڤونا URL  …,Egypt,ارجع ياايڤونا 
TRAIN_107,الاختبارات جت والضغوط جت ولا يحتاج اقول النفسيه وش بتصير,Saudi_Arabia,الاختبارات جت والضغوط جت ولا يحتاج اقول النفسيه وش بتصير
TRAIN_108,مساء النور يالسهلاوي,Saudi_Arabia,مساء النور يالسهلاوي
TRAIN_109,صوت الرصاص من جوة البيت يا رب تحفظهم جميعا,Yemen,صوت الرصاص من جوه البيت يارب تحفظهم جميعا
TRAIN_110,شغلة امس يمكن خربت الي بنيناه بذيج الفترة كله,Iraq,شغله امس يمكن خربت الي بنيناه بذيج الفتره كله
TRAIN_111,DW قناه تناطل لاجل بس الحقیق لملایین البشر بما فیهم العرب,Somalia, قناه تناطل لاجل بس الحقيق لملاين البشر بما فيهم العرب
TRAIN_112,ضاربها الجوع ومتكلش URL  …,Libya,ضاربها الجوع ومتكلش 
TRAIN_113,كيف ممكن نقنعن انو الدراسة بأوروبا مشروع كتير ربحي وكتير ناجح ؟,Syria,كيف مكن نقنعن انو الدراسه باوروبا مشروع كتير ربحي وكتير ناجح 
TRAIN_114,هو انت همين مختفي والله احنا الاشوق URL ,Iraq,هو انت همين مختفي واله احنا الاشوق 
TRAIN_115,Retweeted بنت بغداد ( USER ):  USER  احبها لان بيهاحبيبتي روژايتي مشتاقتلها كولش ومشتاقه لشقاوتنا...  URL ,Iraq, بنت بغداد احبها لان بيهاحبيبتي روژايتي مشتاقتلها كولش ومشتاقه لشقاوتنا 
TRAIN_116,عن قناة الشروق : انهاء مهام العديد من الوزراء ، كنت أظن ان الحكومة تستقيل وجوبا بإستقالة رئيس الحكومة !!! اذا راني غالط كاش واحد يصححلنا من فضلكم ! #Algerie_manifestations #GaidSalah #يتنحاو_ڨاع,Algeria,عن قناه الشروق انهاء مهام العديد من الوزراء كنت اظن ان الحكومه تستقيل وجوبا باستقاله رءيس الحكومه اذا راني غالط كاش واحد يصحلنا من فضلكم يتنحاو ڨاع
TRAIN_117,كل دا عشان تبقي شكلك حلو URL  …,Egypt,كل دا عشان تبقي شكلك حلو 
TRAIN_118,هذا بس ف البدايات بعدين ماشي عاد كل همك عيالك URL  …,Iraq,هذا بس ف البدايات بعدين ماشي عاد كل همك عيالك 
TRAIN_119, USER   USER  أكثر 500 مرشح لوظيفة واحدة هذا الهبل كان قبل احداث صحار القانون الجديد كل 30 شخص يتنافس ع وظيفة واحدة,Oman, اكثر مرشح لوظيفه واحده هذا الهبل كان قبل احداث صحار القانون الجديد كل شخص يتنافس ع وظيفه واحده
TRAIN_120,دبا حنا دابا حنا دابا حنا المغاربة راه كنا عااايشين فشي بلاصة زوينة ؤ متنا ؤ بعثنا الله فهاد البلاد كاندوزو فيها السطاج لول ديال جاهنام !,Morocco,دبا حنا دابا حنا دابا حنا المغاربه راه كنا عايشين فشي بلاصه زوينه ء متنا ء بعثنا اله فهاد البلاد كاندوزو فيها السطاج لول ديال جاهنام 
TRAIN_121,المسامح كريم الله يخليكم لبعضياتكم,Morocco,المسامح كريم اله يخليكم لبعضياتكم
TRAIN_122,كل الناس حلوين يوم صغار ، الا انا من يوم طلعت ع الدنيا حلطة. #حط_صورتك_وانت_صغير,Oman,كل الناس حلوين يوم صغار الا انا من يوم طلعت ع الدنيا حلطه حط صورتك وانت صغير
TRAIN_123,سؤال: هي قرعة الحج حد لاهي يطرح لها لا بدالها من جواز سفر ولل كافية بطاقة تعريف؟؟,Mauritania,سءال هي قرعه الحج حد لاهي يطرح لها لا بدالها من جواز سفر ول كافيه بطاقه تعريف
TRAIN_124,المرزوقي : أنا رمز الثورة في الوطن العربي موش كان تونس أكهاو، إنتي رمز الكمية و برشا فيك برو.,Tunisia,المرزوقي انا رمز الثوره في الوطن العربي موش كان تونس اكهاو انتي رمز الكميه وبرشا فيك برو
TRAIN_125,ليش مجرد توقع,Iraq,ليش مجرد توقع
TRAIN_126,امتى كليب ينزل,Djibouti,امتي كليب ينزل
TRAIN_127,انا كنت مستني الريبلاي بتاعك اقسم بالله العظيم ي جدع,Tunisia,انا كنت مستني الريبلاي بتاعك اقسم باله العظيم ي جدع
TRAIN_128,أسكت شوي و حفرتني انت في البوابه,Libya,اسكت شوي وحفرتني انت في البوابه
TRAIN_129,انا توا مانبيش شي غير اني نطييييح نررررقد,Libya,انا توا مانبيش شي غير اني نطيح نرقد
TRAIN_130, URL  … ابسط دليل اهو يا جماعة ، ان تراك زي دا يلم كل مشاعر الشجن و الشهيصة في نفس التراك,Egypt, ابسط دليل اهو ياجماعه ان تراك زي دا يلم كل مشاعر الشجن والشهيصه في نفس التراك
TRAIN_131,مهو اللي طول اوي عصبني,Egypt,مهو الي طول اوي عصبني
TRAIN_132,انا حامل فشهر ثالث وفصيلتى سالبة متى اخذ الابرة حقت الفصيلة,Saudi_Arabia,انا حامل فشهر ثالث وفصيلتي سالبه متي اخذ الابره حقت الفصيله
TRAIN_133,توا نأجرها من فايز السراج,Somalia,توا ناجرها من فايز السراج
TRAIN_134,هههههه عينيها يخوفو,Algeria,ه عينيها يخوفو
TRAIN_135,كُنت روحي .. لمّا كان جوّايا روح.,Saudi_Arabia,كنت روحي لما كان جوايا روح
TRAIN_136, USER  بوس أيد عمك يلا,Egypt, بوس ايد عمك يلا
TRAIN_137, USER  يابتاع المخدات انت هههههههه,Saudi_Arabia, يابتاع المخدات انت ه
TRAIN_138, USER  والله ما ادري لحد الان شلون فرق عضروطية مثل ريال مدريد وتشلسي بنصف نهائي دوري الابطال !!!!!!!؟؟؟؟؟؟,Iraq, واله ما ادري لحد الان شلون فرق عضروطيه مثل ريال مدريد وتشلسي بنصف نهاءي دوري الابطال 
TRAIN_139,ارتاح من الضغط شوية URL  …,Egypt,ارتاح من الضغط شويه 
TRAIN_140,مش الامازيغ عرب,Algeria,مش الامازيغ عرب
TRAIN_141,بيختفي مع الوقت يا هيا,Syria,بيختفي مع الوقت ياهيا
TRAIN_142,موبيلات يا رؤي مش فلوس و بس,Egypt,موبيلات يارءي مش فلوس وبس
TRAIN_143,غسق اكو صوره مطعون برگبته,Iraq,غسق اكو صوره مطعون بركبته
TRAIN_144, USER   USER  إنسان مريض يريد الشهره على حساب النصر ...وبالنسبه للاعب خذناه غصب عنك وعن ناديك ....دق خشوم,Saudi_Arabia, انسان مريض يريد الشهره علي حساب النصر وبالنسبه لاعب خذناه غصب عنك وعن ناديك دق خشوم
TRAIN_145,خلاص إنتهت الحكاية وحضر أمن عدن وردم الحفريات.,Yemen,خلاص انتهت الحكايه وحضر امن عدن وردم الحفريات
TRAIN_146,مابي من هالدنيا الا انت #صفوان_عشقي,Saudi_Arabia,مابي من هالدنيا الا انت صفوان عشقي
TRAIN_147,اجي وعندي عزبه القهوه والشاهي والطبخ,Saudi_Arabia,اجي وعندي عزبه القهوه والشاهي والطبخ
TRAIN_148,بموتتت ابيهاا تجنن,Iraq,بموت ابيها تجن
TRAIN_149,اصدق مقوله سمعتها اننا فترات فحياة بعض بس قليل الاصل واشباه الرجال كترو ف البلد,Egypt,اصدق مقوله سمعتها انا فترات فحياه بعض بس قليل الاصل واشباه الرجال كترو ف البلد
TRAIN_150,خد قلبى ياعممم URL  …,Egypt,خد قلبي ياعم 
TRAIN_151,حلمتتت احلى حلم بحياتي كلهااااااااااا,Palestine,حلمت احلي حلم بحياتي كلها
TRAIN_152, USER   USER  دكتوووووووور انا محتاجلك كيف السبيل للتواصل معك والله محتاجلك في حاجة تخصني هل هناك تليفون,Algeria, دكتور انا محتاجلك كيف السبيل لتواصل معك واله محتاجلك في حاجه تخصني هل هناك تليفون
TRAIN_153,“  USER : اصبحنا في زمن من يحترم الفتاة ويتعامل معها برقي يسمونه خروووف الحمدلله والشكر بس” والله انت اسلوب ياخطير يا امباااااع,Syria, اصبحنا في زمن من يحترم الفتاه ويتعامل معها برقي يسمونه خروف الحمدله والشكر بس واله انت اسلوب ياخطير ياامباع
TRAIN_154,مبروك يا بوسعود.. تستاهلون الكأس,Mauritania,مبروك يابوسعود تستاهلون الكاس
TRAIN_155,صباَح الـ: ياكثرك في باليّ ويابُعدك عن عيونِي.,Saudi_Arabia,صباح ال ياكثرك في بالي ويابعدك عن عيوني
TRAIN_156,ترى ناقص الشباب ٤ لاعبين اساسيين بالاضافه الى الحظ كورتين بالقايم وبلنتي ضاع,Saudi_Arabia,تري ناقص الشباب  لاعبين اساسين بالاضافه الي الحظ كورتين بالقايم وبلنتي ضاع
TRAIN_157,لحق الوقت وين #نحبسها سمحولي soory#و Bay_Bay#:/,Algeria,لحق الوقت وين نحبسها سمحولي و
TRAIN_158,يباشا دا انا لسه عندي كويز الاتنين يباشا,Egypt,يباشا دا انا لسه عندي كويز الاتنين يباشا
TRAIN_159,ان شاء الله حتلاقي الطريق  URL ,Tunisia,ان شاء اله حتلاقي الطريق 
TRAIN_160,يوووووووه كتير دا انتي محتاجة سفينة تعبي فيها حاجاتنا URL ,United_Arab_Emirates,يوه كتير دا انتي محتاجه سفينه تعبي فيها حاجاتنا 
TRAIN_161,يا رجال بكل حالاتك زين,Palestine,يا رجال بكل حالاتك زين
TRAIN_162,مآ نشتري #آوآععي للعيد 󾇗󾬞 من #الله مشخصين,Palestine,ما نشتري اواعي لعيد من اله مشخصين
TRAIN_163,الله يبارك فيك إيوا ضروري من الحداڭة خوك مزال زوفري وتعلمنا الحمد لله,Morocco,اله يبارك فيك ايوا ضروري من الحداڭه خوك مزال زوفري وتعلمنا الحمد له
TRAIN_164,بس فيفا لمدة اسبوع,Iraq,بس فيفا لمده اسبوع
TRAIN_165,اي طبعا هي منكم وإليكم واحنا عائلة مهجرة من العراق ومن زمان تستنجد وتستغيث وتطلب الفزعة الفزعة لمساعدتنا. ولما تقدمون المساعدة تطلبون منا مقابل والفقير ماعندا يأكل,Iraq,اي طبعا هي منكم واليكم واحنا عاءله مهجره من العراق ومن زمان تستنجد وتستغيث وتطلب الفزعه الفزعه لمساعدتنا ولما تقدمون المساعده تطلبون منا مقابل والفقير ماعندا ياكل
TRAIN_166,#الجزايز_السنغال يااارب تكون الكأس جزايرية ان شاء الله تربح الجزائر,Algeria,الجزايز السنغال يارب تكون الكاس جزايريه ان شاء اله تربح الجزاءر
TRAIN_167,هتروحو ماتش الاهلي بكرا,Egypt,هتروحو ماتش الاهلي بكرا
TRAIN_168,التويتر بيقفل حسابك كيف تحرميهم منه  URL  … URL ,Egypt,التويتر بيقفل حسابك كيف تحرميهم منه 
TRAIN_169,لكن م شاء الله ،، كونك تتذكرها دي حاجة بعيدة,Sudan,لكن م شاء اله كونك تذكرها دي حاجه بعيده
TRAIN_170,طبعا هنشوف عك كروي هايل في تشكيل النهاردة,Egypt,طبعا هنشوف عك كروي هايل في تشكيل النهارده
TRAIN_171,الشيمه خليهم بعيد عني,Oman,الشيمه خليهم بعيد عني
TRAIN_172,الناس كامل اصيبت في عينها هادي ماشي صدفة,Algeria,الناس كامل اصيبت في عينها هادي ماشي صدفه
TRAIN_173,مبيحصلش ياعم والله,Egypt,مبيحصلش ياعم واله
TRAIN_174,طلعتي من دوامك ؟,Saudi_Arabia,طلعتي من دوامك 
