#1_tweetid	#2_tweet	#3_country_label	#4_province_label
TRAIN_109	صوت الرصاص من جوة البيت يا رب تحفظهم جميعا	Yemen	ye_Ibb
TRAIN_110	شغلة امس يمكن خربت الي بنيناه بذيج الفترة كله	Iraq	iq_Kirkuk
TRAIN_111	DW قناه تناطل لاجل بس الحقیق لملایین البشر بما فیهم العرب	Somalia	so_Woqooyi-Galbeed
TRAIN_112	ضاربها الجوع ومتكلش URL  …	Libya	ly_Darnah
TRAIN_113	كيف ممكن نقنعن انو الدراسة بأوروبا مشروع كتير ربحي وكتير ناجح ؟	Syria	sy_Hama
TRAIN_114	هو انت همين مختفي والله احنا الاشوق URL 	Iraq	iq_Kirkuk
TRAIN_115	Retweeted بنت بغداد ( USER ):  USER  احبها لان بيهاحبيبتي روژايتي مشتاقتلها كولش ومشتاقه لشقاوتنا...  URL 	Iraq	iq_Arbil
TRAIN_116	عن قناة الشروق : انهاء مهام العديد من الوزراء ، كنت أظن ان الحكومة تستقيل وجوبا بإستقالة رئيس الحكومة !!! اذا راني غالط كاش واحد يصححلنا من فضلكم ! #Algerie_manifestations #GaidSalah #يتنحاو_ڨاع	Algeria	dz_Bouira
TRAIN_117	كل دا عشان تبقي شكلك حلو URL  …	Egypt	eg_Gharbia
TRAIN_118	هذا بس ف البدايات بعدين ماشي عاد كل همك عيالك URL  …	Iraq	iq_Basra
TRAIN_119	 USER   USER  أكثر 500 مرشح لوظيفة واحدة هذا الهبل كان قبل احداث صحار القانون الجديد كل 30 شخص يتنافس ع وظيفة واحدة	Oman	om_Musandam
TRAIN_120	دبا حنا دابا حنا دابا حنا المغاربة راه كنا عااايشين فشي بلاصة زوينة ؤ متنا ؤ بعثنا الله فهاد البلاد كاندوزو فيها السطاج لول ديال جاهنام !	Morocco	ma_Meknes-Tafilalet
TRAIN_121	المسامح كريم الله يخليكم لبعضياتكم	Morocco	ma_Souss-Massa-Draa
TRAIN_122	كل الناس حلوين يوم صغار ، الا انا من يوم طلعت ع الدنيا حلطة. #حط_صورتك_وانت_صغير	Oman	om_Ad-Dakhiliyah
TRAIN_123	سؤال: هي قرعة الحج حد لاهي يطرح لها لا بدالها من جواز سفر ولل كافية بطاقة تعريف؟؟	Mauritania	mr_Nouakchott
TRAIN_124	المرزوقي : أنا رمز الثورة في الوطن العربي موش كان تونس أكهاو، إنتي رمز الكمية و برشا فيك برو.	Tunisia	tn_Bizerte
TRAIN_125	ليش مجرد توقع	Iraq	iq_Kirkuk
TRAIN_126	امتى كليب ينزل	Djibouti	dj_Djibouti
TRAIN_127	انا كنت مستني الريبلاي بتاعك اقسم بالله العظيم ي جدع	Tunisia	tn_Mahdia
TRAIN_128	أسكت شوي و حفرتني انت في البوابه	Libya	ly_Darnah
TRAIN_129	انا توا مانبيش شي غير اني نطييييح نررررقد	Libya	ly_Darnah
TRAIN_130	 URL  … ابسط دليل اهو يا جماعة ، ان تراك زي دا يلم كل مشاعر الشجن و الشهيصة في نفس التراك	Egypt	eg_Alexandria
TRAIN_131	مهو اللي طول اوي عصبني	Egypt	eg_Dakahlia
TRAIN_132	انا حامل فشهر ثالث وفصيلتى سالبة متى اخذ الابرة حقت الفصيلة	Saudi_Arabia	sa_Al-Madinah
TRAIN_133	توا نأجرها من فايز السراج	Somalia	so_Banaadir
TRAIN_134	هههههه عينيها يخوفو	Algeria	dz_Biskra
TRAIN_135	كُنت روحي .. لمّا كان جوّايا روح.	Saudi_Arabia	sa_Makkah
TRAIN_136	 USER  بوس أيد عمك يلا	Egypt	eg_Gharbia
TRAIN_137	 USER  يابتاع المخدات انت هههههههه	Saudi_Arabia	sa_Ar-Riyad
TRAIN_138	 USER  والله ما ادري لحد الان شلون فرق عضروطية مثل ريال مدريد وتشلسي بنصف نهائي دوري الابطال !!!!!!!؟؟؟؟؟؟	Iraq	iq_An-Najaf
TRAIN_139	ارتاح من الضغط شوية URL  …	Egypt	eg_Aswan
TRAIN_140	مش الامازيغ عرب	Algeria	dz_Biskra
TRAIN_141	بيختفي مع الوقت يا هيا	Syria	sy_Hims
TRAIN_142	موبيلات يا رؤي مش فلوس و بس	Egypt	eg_Suez
TRAIN_143	غسق اكو صوره مطعون برگبته	Iraq	iq_Al-Muthannia
TRAIN_144	 USER   USER  إنسان مريض يريد الشهره على حساب النصر ...وبالنسبه للاعب خذناه غصب عنك وعن ناديك ....دق خشوم	Saudi_Arabia	sa_Najran
TRAIN_145	خلاص إنتهت الحكاية وحضر أمن عدن وردم الحفريات.	Yemen	ye_Aden
TRAIN_146	مابي من هالدنيا الا انت #صفوان_عشقي	Saudi_Arabia	sa_Al-Madinah
TRAIN_147	اجي وعندي عزبه القهوه والشاهي والطبخ	Saudi_Arabia	sa_Al-Quassim
TRAIN_148	بموتتت ابيهاا تجنن	Iraq	iq_Wasit
TRAIN_149	اصدق مقوله سمعتها اننا فترات فحياة بعض بس قليل الاصل واشباه الرجال كترو ف البلد	Egypt	eg_North-Sinai
TRAIN_150	خد قلبى ياعممم URL  …	Egypt	eg_Luxor
TRAIN_151	حلمتتت احلى حلم بحياتي كلهااااااااااا	Palestine	ps_West-Bank
TRAIN_152	 USER   USER  دكتوووووووور انا محتاجلك كيف السبيل للتواصل معك والله محتاجلك في حاجة تخصني هل هناك تليفون	Algeria	dz_Béchar
TRAIN_153	“  USER : اصبحنا في زمن من يحترم الفتاة ويتعامل معها برقي يسمونه خروووف الحمدلله والشكر بس” والله انت اسلوب ياخطير يا امباااااع	Syria	sy_Damascus-City
TRAIN_154	مبروك يا بوسعود.. تستاهلون الكأس	Mauritania	mr_Nouakchott
TRAIN_155	صباَح الـ: ياكثرك في باليّ ويابُعدك عن عيونِي.	Saudi_Arabia	sa_Jizan
TRAIN_156	ترى ناقص الشباب ٤ لاعبين اساسيين بالاضافه الى الحظ كورتين بالقايم وبلنتي ضاع	Saudi_Arabia	sa_Asir
TRAIN_157	لحق الوقت وين #نحبسها سمحولي soory#و Bay_Bay#:/	Algeria	dz_Biskra
TRAIN_158	يباشا دا انا لسه عندي كويز الاتنين يباشا	Egypt	eg_Beheira
TRAIN_159	ان شاء الله حتلاقي الطريق  URL 	Tunisia	tn_Sfax
TRAIN_160	يوووووووه كتير دا انتي محتاجة سفينة تعبي فيها حاجاتنا URL 	United_Arab_Emirates	ae_Abu-Dhabi
TRAIN_161	يا رجال بكل حالاتك زين	Palestine	ps_Gaza-Strip
TRAIN_162	مآ نشتري #آوآععي للعيد 󾇗󾬞 من #الله مشخصين	Palestine	ps_Gaza-Strip
TRAIN_163	الله يبارك فيك إيوا ضروري من الحداڭة خوك مزال زوفري وتعلمنا الحمد لله	Morocco	ma_Souss-Massa-Draa
TRAIN_164	بس فيفا لمدة اسبوع	Iraq	iq_Karbala
TRAIN_165	اي طبعا هي منكم وإليكم واحنا عائلة مهجرة من العراق ومن زمان تستنجد وتستغيث وتطلب الفزعة الفزعة لمساعدتنا. ولما تقدمون المساعدة تطلبون منا مقابل والفقير ماعندا يأكل	Iraq	iq_Al-Anbar
TRAIN_166	#الجزايز_السنغال يااارب تكون الكأس جزايرية ان شاء الله تربح الجزائر	Algeria	dz_Biskra
TRAIN_167	هتروحو ماتش الاهلي بكرا	Egypt	eg_North-Sinai
TRAIN_168	التويتر بيقفل حسابك كيف تحرميهم منه  URL  … URL 	Egypt	eg_Kafr-el-Sheikh
TRAIN_169	لكن م شاء الله ،، كونك تتذكرها دي حاجة بعيدة	Sudan	sd_Khartoum
TRAIN_170	طبعا هنشوف عك كروي هايل في تشكيل النهاردة	Egypt	eg_Faiyum
TRAIN_171	الشيمه خليهم بعيد عني	Oman	om_Muscat
TRAIN_172	الناس كامل اصيبت في عينها هادي ماشي صدفة	Algeria	dz_Béchar
TRAIN_173	مبيحصلش ياعم والله	Egypt	eg_Luxor
TRAIN_174	طلعتي من دوامك ؟	Saudi_Arabia	sa_Al-Quassim
TRAIN_175	موه بخمسه عب ما باغي كذاك احسن انقل قيدي مكان ثاني	Oman	om_Ad-Dhahirah
TRAIN_176	كنت كنلعب فالزنقه	Morocco	ma_Meknes-Tafilalet
TRAIN_177	 USER  في مفاجأة لك بكرة	Saudi_Arabia	sa_Tabuk
TRAIN_178	"""انت اكيد شوفت البوست ده عشان الدعوة دي من نصيبك..\""ربنا ياخدك ويريحك\"""""	Egypt	eg_Qena
TRAIN_179	الله يقبل منك وجزاك الله خير وماعليك زود	Syria	sy_As-Suwayda
TRAIN_180	من اول يوم كلت اسحبوا الثقة من اهل العمايم و الدين لانها عميلة لنفسها لانهم يريدون الناس خدام و عبيد الهم	Iraq	iq_Dihok
TRAIN_181	انا مالي في الكورة ابدا بس هذي الصورة واجد تضحك URL  …	Oman	om_Dhofar
TRAIN_182	دوري ع اللي ياخدك زي م انتي مش اللي يحولك لواحده متعرفيهاش ..!	Egypt	eg_Qena
TRAIN_183	اصل انا كدا كدا بصحي بدري ف بروح اشوف صحابي	Egypt	eg_North-Sinai
TRAIN_184	للأسف ما اعرف انام الا على البطن وإذا قمت ألم ظهر	Syria	sy_Damascus-City
TRAIN_185	حاجه تقرف والله	Egypt	eg_Aswan
TRAIN_186	ماشي فرق حتى فالخصم نفس الشي	Oman	om_Muscat
TRAIN_187	اه صح كده في الفاينل بقا	Morocco	ma_Tanger-Tetouan
TRAIN_188	اليوم اخترت اغنية بكره ياحبيبي لورده URL 	Oman	om_Ash-Sharqiyah
TRAIN_189	ارحب ي ياكاريووووو اطلق اجنبي عندي	Syria	sy_As-Suwayda
TRAIN_190	تمسخر و ضحك عالجمهور وإعطاء أهمية كبيرة للضيوف عالطاولة رغم كل افعالن الفاسدة، امر مرفوض كليا #صار_الوقت	Lebanon	lb_Akkar
TRAIN_191	وانا اللي ظلمتك	Morocco	ma_Tanger-Tetouan
TRAIN_192	مونتاداسوؤدادي و حماه عيشتا في الأوطان تال المغرب ماتعيش فيه في سبيل الله !!!	Morocco	ma_Meknes-Tafilalet
TRAIN_193	يوسف الحسيني فرحان ان عكاشة اتضرب بالجزمة مع اننا تعاطفنا مع يوسف لما اتضرب على قفاه من الخرفان	Egypt	eg_Beheira
TRAIN_194	حبيبي يا فودة وانت بخير وصحة وسعادة يا هندسة	Lebanon	lb_South-Lebanon
TRAIN_195	مايحتاج مجيد ماشاء الله منجد برز نفسه وبقوه URL  …	Saudi_Arabia	sa_Asir
TRAIN_196	اكيد بيقرروا..نحنا عم نعطي رأي ونتناقش..فقط .. ونتمنى...ينسمع رأينا	Syria	sy_Lattakia
TRAIN_197	جالى إحباط م السنةة قبل ما ادخلهاا .. :( #يـــارب	Egypt	eg_Gharbia
TRAIN_198	شو نفع البكي؟	Egypt	eg_Minya
TRAIN_199	خل نحسبها الكعدة وعوفة الفراش المزعجة الوقت والتبديل والميك اب والركض على خط والحر بالدوام + الازدحامات يرادلج سبوعين فكانسي بسطنبول ورة هيج يوم	Iraq	iq_Baghdad
TRAIN_200	إي ممكن إذا ترجمت يومياتك البريطانية بعد عمر طويل بكون فيه chapter عن يوميات الإندومي وآلاء	Syria	sy_Hama
TRAIN_201	حريم انسجنوا (25) سنة مع بعض أول ما طلعوا من السجن وقفوا عند باب السجن ساعتين يسولفون	Saudi_Arabia	sa_Al-Quassim
TRAIN_202	مش مُهم ، عشان لا إنتوا هتفهموا ولا أنا هشرح.	Egypt	eg_Dakahlia
TRAIN_203	اليسا مافي كليب؟؟ بدي انام Goodnight  USER 	Djibouti	dj_Djibouti
TRAIN_204	واضح الاختبار كان حلو	Oman	om_Musandam
TRAIN_205	 USER  لا لا ماديريش على بعضهم ايهاب ولدنا ومنا و فينا	Algeria	dz_Constantine
TRAIN_206	حذفي ورجعي نزلي	Iraq	iq_Babil
TRAIN_207	لا ولو يا شذا انتو اكبر اووووو مش قصدي عن الخدمات والله	Palestine	ps_West-Bank
TRAIN_208	الف مبروك يا عزة و ربنا يتمم عليكي بخير	Lebanon	lb_South-Lebanon
TRAIN_209	اجلد هم جلد	Saudi_Arabia	sa_Jizan
TRAIN_210	إيه الدرجات بنت الوسخة دي يا جامعتي؟	Egypt	eg_Sohag
TRAIN_211	اعتقد صاحبه فكرة لفه دي هي سرين	Djibouti	dj_Djibouti
TRAIN_212	شوفلي تذكره تكفى تكفى تكفى	Saudi_Arabia	sa_Al-Madinah
TRAIN_213	— لا الموضوع دا خط احمر ي قطه☻  URL  …	Morocco	ma_Tanger-Tetouan
TRAIN_214	هذي خربت لي حياتي يومين م كنت محتاج لهن لكن حدث مالا يتوقع URL 	Oman	om_Ash-Sharqiyah
TRAIN_215	انا بموت جوايا وببكى على حالى URL  …	Egypt	eg_Dakahlia
TRAIN_216	لالا كله كلاكيع تكسر الظهر	Iraq	iq_Wasit
TRAIN_217	اي شي الا شباك الحارة	Syria	sy_Hama
TRAIN_218	انا بتوقعله موسم ناجح إن شاء الله	Egypt	eg_Sohag
TRAIN_219	اذا هم تلفوا مدري كم مليار كالوا غرك بالمجاري	Iraq	iq_Al-Anbar
TRAIN_220	ابعثلي نص البيان الله يحفضك	Algeria	dz_Bouira
TRAIN_221	أكيد غلط والله أعلم URL  …	Mauritania	mr_Nouakchott
TRAIN_222	- ابسط انواع العذاب غرفة ما يوصلها النت ›	Saudi_Arabia	sa_Al-Quassim
TRAIN_223	ياخي اغبياء مرا	Saudi_Arabia	sa_Makkah
TRAIN_224	ياعملاء تركيا بعتوا البلاد وبالنسبة لفرنسا راهو اصلهم من قبايل برقة URL 	Libya	ly_Misrata
TRAIN_225	تدخلي للقلب بسرعة و حكياتك تجنن متلك  URL  …	Algeria	dz_Oran
TRAIN_226	انا في نفسي اووى  URL  …	Morocco	ma_Tanger-Tetouan
TRAIN_227	يلي قمرة فلونك قولي كيف بنوصل بحر عيونك	Somalia	so_Banaadir
TRAIN_228	شغل ملف صوتي لمحاضرة ممله وبتنام	Iraq	iq_Basra
TRAIN_229	الصراحة يستاهل شهر العسل	Morocco	ma_Souss-Massa-Draa
TRAIN_230	عطيتها مصاري مشي الحال	Syria	sy_Hims
TRAIN_231	من اكثر الفرق الاندرغراوند العربية يلي بحبها. عظيمين من اغاني لكلمات لبرفورمنس، على امل يجوا لبنان قبل ما كون رحت  URL  …	Lebanon	lb_North-Lebanon
TRAIN_232	بروح للمريخ امرج؟	United_Arab_Emirates	ae_Abu-Dhabi
TRAIN_233	الناس صلت التراويح واحنا لسا ماأدن	Algeria	dz_Oran
TRAIN_234	اكول يا جماعة صدوك شنو موضوع سيد مقتدى يكولون عنده ورمه يعني هذا الخبر صحيح لو يشاقه ويانه ..	Iraq	iq_Baghdad
TRAIN_235	مشكله السنقل لما يصور صور حلوه ومايدري يوريها مين...	Saudi_Arabia	sa_Ash-Sharqiyah
TRAIN_236	رتويت لي دي لو الاتنين م عندك شغلة بيهم URL  …	Yemen	ye_Ibb
TRAIN_237	اذا انت بل عراق اشكر اللة لهسة عايش وكامل صحتك يا احلام يابطيخ	Iraq	iq_Al-Anbar
TRAIN_238	ومنو طلب منج ادافعين من اجلنه والله عايشه الدور	Iraq	iq_Baghdad
TRAIN_239	إذا ما في تلج ما في خوف من الانزلاق	Yemen	ye_Ibb
TRAIN_240	رايحه وين دورين عيوره	Iraq	iq_Kirkuk
